Date,Open,High,Low,Close,Volume,Company
2024-11-05,19.6,19.7,19.0,19.3,448565.0,SINGER (SRI LANKA) PLC
2024-11-06,19.5,20.5,19.2,20.4,4557056.0,SINGER (SRI LANKA) PLC
2024-11-07,20.5,21.0,20.2,20.7,1587578.0,SINGER (SRI LANKA) PLC
2024-11-08,20.9,21.7,20.8,21.5,3278789.0,SINGER (SRI LANKA) PLC
2024-11-09,20.9,21.7,20.8,21.5,3278789.0,SINGER (SRI LANKA) PLC
2024-11-10,20.9,21.7,20.8,21.5,3278789.0,SINGER (SRI LANKA) PLC
2024-11-11,21.5,21.5,20.8,21.0,853431.0,SINGER (SRI LANKA) PLC
2024-11-12,21.0,21.2,20.7,20.8,417810.0,SINGER (SRI LANKA) PLC
2024-11-13,21.1,22.2,21.1,21.7,3644506.0,SINGER (SRI LANKA) PLC
2024-11-14,21.7,21.9,21.0,21.6,1763858.0,SINGER (SRI LANKA) PLC
2024-11-15,21.7,21.9,21.0,21.6,1763858.0,SINGER (SRI LANKA) PLC
2024-11-16,21.7,21.9,21.0,21.6,1763858.0,SINGER (SRI LANKA) PLC
2024-11-17,21.7,21.9,21.0,21.6,1763858.0,SINGER (SRI LANKA) PLC
2024-11-18,22.5,22.7,21.9,22.5,3987075.0,SINGER (SRI LANKA) PLC
2024-11-19,22.5,22.9,22.0,22.8,1038838.0,SINGER (SRI LANKA) PLC
2024-11-20,22.9,23.5,22.5,23.1,1379863.0,SINGER (SRI LANKA) PLC
2024-11-22,23.2,24.0,23.0,23.6,2773818.0,SINGER (SRI LANKA) PLC
2024-11-23,23.2,24.0,23.0,23.6,2773818.0,SINGER (SRI LANKA) PLC
2024-11-24,23.2,24.0,23.0,23.6,2773818.0,SINGER (SRI LANKA) PLC
2024-11-25,23.6,23.8,22.7,22.8,458461.0,SINGER (SRI LANKA) PLC
2024-11-26,22.7,23.2,22.7,23.0,78426.0,SINGER (SRI LANKA) PLC
2024-11-27,22.6,23.0,22.6,23.0,163862.0,SINGER (SRI LANKA) PLC
2024-11-28,23.0,23.4,22.8,22.9,475282.0,SINGER (SRI LANKA) PLC
2024-11-30,22.9,23.5,22.9,23.1,852290.0,SINGER (SRI LANKA) PLC
2024-12-01,22.9,23.5,22.9,23.1,852290.0,SINGER (SRI LANKA) PLC
2024-12-02,23.4,23.8,23.4,23.8,619026.0,SINGER (SRI LANKA) PLC
2024-12-03,23.8,24.4,23.7,24.3,583465.0,SINGER (SRI LANKA) PLC
2024-12-04,24.3,24.4,24.0,24.2,323901.0,SINGER (SRI LANKA) PLC
2024-12-05,24.0,24.5,23.8,24.0,344342.0,SINGER (SRI LANKA) PLC
2024-12-06,24.0,24.3,23.8,24.1,417683.0,SINGER (SRI LANKA) PLC
2024-12-07,24.0,24.3,23.8,24.1,417683.0,SINGER (SRI LANKA) PLC
2024-12-08,24.0,24.3,23.8,24.1,417683.0,SINGER (SRI LANKA) PLC
2024-12-09,24.3,24.5,24.0,24.0,583244.0,SINGER (SRI LANKA) PLC
2024-12-10,24.3,24.3,23.7,23.8,392420.0,SINGER (SRI LANKA) PLC
2024-12-11,23.8,24.5,23.8,24.1,818665.0,SINGER (SRI LANKA) PLC
2024-12-12,24.2,24.7,24.0,24.1,923862.0,SINGER (SRI LANKA) PLC
2024-12-13,24.5,25.2,24.3,25.0,1608801.0,SINGER (SRI LANKA) PLC
2024-12-15,24.5,25.2,24.3,25.0,1608801.0,SINGER (SRI LANKA) PLC
2024-12-16,24.9,25.2,24.2,24.8,264117.0,SINGER (SRI LANKA) PLC
2024-12-17,24.9,24.9,23.8,24.1,212384.0,SINGER (SRI LANKA) PLC
2024-12-18,24.1,24.6,23.8,24.4,533304.0,SINGER (SRI LANKA) PLC
2024-12-19,24.4,24.5,24.2,24.2,324092.0,SINGER (SRI LANKA) PLC
2024-12-20,24.4,26.0,24.2,25.5,1402941.0,SINGER (SRI LANKA) PLC
2024-12-21,24.4,26.0,24.2,25.5,1402941.0,SINGER (SRI LANKA) PLC
2024-12-22,24.4,26.0,24.2,25.5,1402941.0,SINGER (SRI LANKA) PLC
2024-12-23,25.9,26.2,25.2,26.0,1224198.0,SINGER (SRI LANKA) PLC
2024-12-24,26.1,26.2,25.2,26.0,490470.0,SINGER (SRI LANKA) PLC
2024-12-25,26.1,26.2,25.2,26.0,490470.0,SINGER (SRI LANKA) PLC
2024-12-26,26.2,26.8,26.2,26.8,398369.0,SINGER (SRI LANKA) PLC
2024-12-27,26.5,26.8,26.0,26.5,798675.0,SINGER (SRI LANKA) PLC
2024-12-28,26.5,26.8,26.0,26.5,798675.0,SINGER (SRI LANKA) PLC
2024-12-29,26.5,26.8,26.0,26.5,798675.0,SINGER (SRI LANKA) PLC
2024-12-31,26.5,26.5,25.8,26.0,408978.0,SINGER (SRI LANKA) PLC
2025-01-01,26.5,26.5,25.8,26.0,408978.0,SINGER (SRI LANKA) PLC
2025-01-02,26.0,27.0,25.0,26.2,690974.0,SINGER (SRI LANKA) PLC
2025-01-03,27.0,28.7,26.0,27.2,1475432.0,SINGER (SRI LANKA) PLC
2025-01-04,27.0,28.7,26.0,27.2,1475432.0,SINGER (SRI LANKA) PLC
2025-01-05,27.0,28.7,26.0,27.2,1475432.0,SINGER (SRI LANKA) PLC
2025-01-06,27.1,27.7,26.5,27.1,561533.0,SINGER (SRI LANKA) PLC
2025-01-07,27.0,29.1,26.7,28.2,1112411.0,SINGER (SRI LANKA) PLC
2025-01-08,28.6,28.6,27.8,28.1,217865.0,SINGER (SRI LANKA) PLC
2025-01-09,27.9,28.0,26.8,27.0,905813.0,SINGER (SRI LANKA) PLC
2025-01-11,27.1,27.1,26.7,27.0,353477.0,SINGER (SRI LANKA) PLC
2025-01-12,27.1,27.1,26.7,27.0,353477.0,SINGER (SRI LANKA) PLC
2025-01-13,27.1,27.1,26.7,27.0,353477.0,SINGER (SRI LANKA) PLC
2025-01-14,27.1,27.1,26.7,27.0,353477.0,SINGER (SRI LANKA) PLC
2025-01-15,26.6,27.6,26.6,27.3,107670.0,SINGER (SRI LANKA) PLC
2025-01-16,27.2,28.2,27.2,28.1,192054.0,SINGER (SRI LANKA) PLC
